日期,开盘,收盘,最高,最低,成交量,成交额
2020-01-02,11.5105855100,11.6105146300,11.6979526100,11.4606209500,65295784,1212361334.0000
2020-01-03,11.5792867800,11.5917779200,11.6729703300,11.5418133600,37696287,700669803.0000
2020-01-06,11.5980234900,11.7291804600,11.8603374300,11.5980234900,52721055,991890497.0000
2020-01-07,11.6792159000,11.7541627400,11.9103019900,11.6792159000,41211016,779821412.0000
2020-01-08,11.7604083100,11.4606209500,11.7791450200,11.4606209500,50714951,940871707.0000
2020-01-09,11.5543045000,11.4918488000,11.5792867800,11.4044108200,30069595,552413305.0000
2020-01-10,11.4918488000,11.3419551200,11.5230766500,11.2982361300,34367088,625213953.0000
2020-01-13,11.3419551200,11.3606918300,11.3731829700,11.2420260000,36026676,651784424.0000
2020-01-14,11.3606918300,11.3357095500,11.4481298100,11.3232184100,28169749,513547207.0000
2020-01-15,11.2919905600,11.1358513100,11.3357095500,11.1233601700,37584564,672149608.0000
2020-01-16,11.1358513100,11.1171146000,11.1733247300,11.0421677600,32941101,585244763.0000
2020-01-17,11.1171146000,11.1795703000,11.2107981500,11.1108690300,22027627,393522692.0000
2020-01-20,11.1296057400,11.0546589000,11.1483424500,10.9734664900,36979608,654000049.0000
2020-01-21,10.9797120600,10.9422386400,10.9922032000,10.8797829400,27763162,486100783.0000
2020-01-22,10.8797829400,11.0546589000,11.1233601700,10.8048361000,34153096,598814242.0000
2020-01-23,10.9609753500,10.7923449600,10.9609753500,10.6986614100,41988547,726763556.0000
2020-02-03,9.7181069200,9.9804208600,10.0366309900,9.7181069200,77690417,1228063955.0000
2020-02-04,9.9242107300,10.1490512500,10.1677879600,9.8555094600,57349319,917855852.0000
2020-02-05,10.1053322600,10.1428056800,10.2427348000,10.0116487100,37026680,601389705.0000
2020-02-06,10.1677879600,10.1615423900,10.2052613800,10.0865955500,34899366,566803572.0000
2020-02-07,10.1178234000,10.1053322600,10.1365601100,10.0428765600,27354310,441758785.0000
2020-02-10,10.0366309900,10.2115069500,10.2177525200,10.0241398500,38257807,620270515.0000
2020-02-11,10.2489803700,10.3988740500,10.4863120300,10.1865246700,37698928,627473624.0000
2020-02-12,10.3738917700,10.3988740500,10.4176107600,10.3239272100,18486888,307144699.0000
