日期,开盘,收盘,最高,最低,成交量,成交额
2020-01-02,4.1166910400,4.1514603900,4.1931836100,4.1097371700,234949397,1404442753.0000
2020-01-03,4.1514603900,4.1653681300,4.1862297400,4.1445065200,152213047,911951562.0000
2020-01-06,4.1445065200,4.1514603900,4.2070913500,4.1375526500,226509705,1359917424.0000
2020-01-07,4.1584142600,4.1792758700,4.2001374800,4.1584142600,116804353,701615827.0000
2020-01-08,4.1445065200,4.1097371700,4.1514603900,4.1027833000,158559090,940552725.0000
2020-01-09,4.1375526500,4.1097371700,4.1445065200,4.0888755600,137713429,813806686.0000
2020-01-10,4.1097371700,4.1097371700,4.1236449100,4.0749678200,97837773,576580178.0000
2020-01-13,4.1027833000,4.1236449100,4.1236449100,4.0819216900,108991003,642791834.0000
2020-01-14,4.1166910400,4.1305987800,4.1445065200,4.1097371700,136770059,812389848.0000
2020-01-15,4.1236449100,4.0888755600,4.1305987800,4.0819216900,128890756,759512875.0000
2020-01-16,4.0819216900,4.0332446000,4.0958294300,4.0262907300,269031344,1572007903.0000
2020-01-17,4.0401984700,4.0471523400,4.0610600800,4.0332446000,103949027,605076653.0000
2020-01-20,4.0401984700,4.0610600800,4.0749678200,4.0332446000,103339962,602786615.0000
2020-01-21,4.0471523400,4.0123829900,4.0541062100,4.0054291200,143223669,828268482.0000
2020-01-22,4.0054291200,4.0262907300,4.0262907300,3.9706597700,128370788,738870049.0000
2020-01-23,4.0054291200,3.9776136400,4.0193368600,3.9637059000,200037655,1146238550.0000
2020-02-03,3.6855511000,3.7689975400,3.8802594600,3.6855511000,468039904,2524272183.0000
2020-02-04,3.7481359300,3.8246285000,3.8454901100,3.7272743200,401385264,2178867252.0000
2020-02-05,3.8176746300,3.8176746300,3.8385362400,3.7689975400,250853805,1374458723.0000
2020-02-06,3.8246285000,3.8246285000,3.8454901100,3.7829052800,280995424,1538957671.0000
2020-02-07,3.8037668900,3.7829052800,3.8037668900,3.7550898000,237318996,1288428158.0000
2020-02-10,3.7620436700,3.7689975400,3.7759514100,3.7411820600,190238633,1027646561.0000
2020-02-11,3.7759514100,3.7968130200,3.8037668900,3.7620436700,198498450,1081002724.0000
2020-02-12,3.7968130200,3.7968130200,3.8037668900,3.7689975400,203914433,1109148701.0000
2020-02-13,3.7898591500,3.7620436700,3.7898591500,3.7550898000,199565762,1082005691.0000
2020-02-14,3.7550898000,3.7759514100,3.7829052800,3.7481359300,141576448,767126663.0000
2020-02-17,3.7689975400,3.8176746300,3.8176746300,3.7620436700,214194906,1169117310.0000
2020-02-18,3.8037668900,3.7968130200,3.8107207600,3.7829052800,184542440,1007061194.0000
2020-02-19,3.7898591500,3.8107207600,3.8246285000,3.7898591500,204052382,1115986859.0000
2020-02-20,3.8107207600,3.8315823700,3.8385362400,3.7829052800,283668096,1552477582.0000
2020-02-21,3.8176746300,3.8176746300,3.8385362400,3.8037668900,223710293,1228187059.0000
2020-02-24,3.8107207600,3.7829052800,3.8176746300,3.7759514100,193329190,1053685893.0000
2020-02-25,3.7550898000,3.7620436700,3.7689975400,3.7481359300,230133275,1243466243.0000
2020-02-26,3.7411820600,3.7620436700,3.7829052800,3.7272743200,257968813,1393315557.0000
2020-02-27,3.7550898000,3.7550898000,3.7689975400,3.7481359300,222555623,1202215361.0000
2020-02-28,3.7342281900,3.6855511000,3.7411820600,3.6716433600,422937152,2256218764.0000
2020-03-02,3.6855511000,3.7272743200,3.7272743200,3.6785972300,239902317,1279829481.0000
2020-03-03,3.7342281900,3.7411820600,3.7550898000,3.7203204500,255403193,1374004536.0000
2020-03-04,3.7342281900,3.7481359300,3.7481359300,3.7272743200,134281589,721906815.0000
2020-03-05,3.7550898000,3.7968130200,3.7968130200,3.7411820600,330539760,1794965702.0000
2020-03-06,3.7689975400,3.7620436700,3.7759514100,3.7481359300,195949873,1059304456.0000
2020-03-09,3.7133665800,3.6925049700,3.7203204500,3.6855511000,288062032,1532677429.0000
2020-03-10,3.6785972300,3.7272743200,3.7342281900,3.6785972300,250820767,1336201306.0000
2020-03-11,3.7203204500,3.6994588400,3.7342281900,3.6994588400,169406955,904475654.0000
2020-03-12,3.6855511000,3.6785972300,3.6994588400,3.6646894900,246296488,1303003586.0000
2020-03-13,3.5881969200,3.6299201400,3.6646894900,3.5673353100,299724112,1553653695.0000
2020-03-16,3.6299201400,3.5951507900,3.6785972300,3.5742891800,304466304,1586443700.0000
2020-03-17,3.5881969200,3.5951507900,3.6368740100,3.5603814400,257712932,1329255603.0000
2020-03-18,3.6021046600,3.5534275700,3.6160124000,3.5534275700,202506811,1045181428.0000
2020-03-19,3.5534275700,3.4699811300,3.5603814400,3.4282579100,289884976,1452206739.0000
2020-03-20,3.4908427400,3.5325659600,3.5534275700,3.4769350000,212513611,1073508058.0000
2020-03-23,3.4769350000,3.4699811300,3.4977966100,3.4630272600,139989311,699169083.0000
2020-03-24,3.4908427400,3.5603814400,3.5603814400,3.4908427400,230331606,1166514215.0000
2020-03-25,3.5951507900,3.6021046600,3.6021046600,3.5464737000,232178619,1195478388.0000
2020-03-26,3.5673353100,3.6021046600,3.6299201400,3.5534275700,155612848,805142973.0000
2020-03-27,3.6229662700,3.6229662700,3.6507817500,3.6021046600,172736492,901046977.0000
2020-03-30,3.6021046600,3.6299201400,3.6438278800,3.5812430500,195388477,1016609263.0000
2020-03-31,3.6299201400,3.5812430500,3.6438278800,3.5603814400,176103197,912323378.0000
2020-04-01,3.5812430500,3.5881969200,3.6090585300,3.5673353100,101858447,525623743.0000
2020-04-02,3.5742891800,3.6090585300,3.6090585300,3.5534275700,122885637,632366527.0000
2020-04-03,3.5881969200,3.5742891800,3.6021046600,3.5603814400,109604624,564119678.0000
