日期,开盘,收盘,最高,最低,成交量,成交额
2020-01-02,977.3127360000,979.0455600000,992.0937247200,966.9157920000,14809916,16696837095.0000
2020-01-03,967.7822040000,934.4773267200,967.7822040000,933.0390828000,13031878,14266380596.0000
2020-01-06,927.8059543200,933.9834718800,946.9016748000,924.7215276000,6341478,6853917601.0000
2020-01-07,933.5589300000,948.3139263600,952.1867880000,932.6058768000,4785359,5220697068.0000
2020-01-08,940.1003406000,942.7775536800,949.1543460000,937.9603029600,2500825,2720371915.0000
2020-01-09,947.8547280000,955.3925124000,957.7231606800,944.3890800000,3740587,4110949814.0000
2020-01-10,960.8509080000,963.8833500000,966.9071278800,955.2192300000,3597587,3993457118.0000
2020-01-13,963.8833500000,974.0810192400,978.3524304000,963.4501440000,3851575,4325687959.0000
2020-01-14,974.0203704000,959.4646488000,974.6181946800,955.6524360000,3514465,3916300790.0000
2020-01-15,960.8595721200,963.5627775600,971.7676992000,957.3852600000,2602911,2895603674.0000
2020-01-16,969.4023944400,959.1180840000,969.4023944400,955.2885429600,2319165,2571593141.0000
2020-01-17,961.7173200000,959.5512900000,964.1259453600,953.9282761200,2347275,2599645144.0000
2020-01-20,963.3288463200,945.2554920000,963.3288463200,937.4577840000,3539130,3858246844.0000
2020-01-21,936.5913720000,931.6528236000,941.7898440000,929.0535876000,3287405,3542441308.0000
2020-01-22,927.0608400000,931.8347701200,939.1906080000,914.3938965600,3620004,3875275065.0000
2020-01-23,932.2593120000,912.1585536000,932.2593120000,898.4692440000,5346843,5638945742.0000
2020-02-03,853.4158200000,869.8083350400,875.6652801600,849.0837600000,12344288,12314991759.0000
2020-02-04,879.4081800000,899.3443201200,915.7974840000,875.9511961200,6262418,6490469043.0000
2020-02-05,909.7326000000,909.7239358800,913.1982480000,895.0295883600,4741824,4956355235.0000
2020-02-06,917.9028651600,927.9272520000,931.3929000000,911.4827522400,4717121,5011246407.0000
2020-02-07,927.0695041200,932.2593120000,933.1257240000,919.2804602400,3127871,3348894576.0000
2020-02-10,920.1295440000,924.0197338800,931.0463352000,915.9707664000,3053342,3251908506.0000
2020-02-11,920.9959560000,951.3203760000,952.7759481600,920.8226736000,4791793,5222918915.0000
2020-02-12,943.5226680000,950.6878952400,952.0048414800,940.8194625600,2812543,3072293973.0000
2020-02-13,951.3203760000,945.2554920000,965.0876626800,942.6649201200,3035736,3335277425.0000
2020-02-14,944.7789654000,942.6562560000,947.4301861200,938.4195013200,2328760,2534568401.0000
2020-02-17,937.8909900000,947.6987738400,949.7521702800,937.8043488000,2702822,2946182657.0000
2020-02-18,944.3977441200,939.1906080000,950.3499945600,938.3241960000,2666496,2897729692.0000
2020-02-19,940.0570200000,950.0207580000,954.3528180000,933.9921360000,3705147,4052365602.0000
2020-02-20,950.1940404000,968.6486160000,973.8470880000,949.0763689200,4680262,5220660940.0000
2020-02-21,962.9822815200,964.2125865600,973.4485384800,961.7259841200,2894008,3225337160.0000
2020-02-24,957.8184660000,941.9457981600,961.7173200000,940.4902260000,3865036,4221857466.0000
2020-02-25,933.9921360000,931.2282817200,937.5357610800,925.2240465600,3838562,4127432130.0000
2020-02-26,920.1295440000,930.2665644000,939.1906080000,914.0646600000,4356097,4663278433.0000
2020-02-27,932.2593120000,942.1277446800,948.7124758800,932.2593120000,3449829,3758783810.0000
2020-02-28,927.3207636000,915.7974840000,937.4577840000,909.7066076400,4994657,5307929213.0000
2020-03-02,909.8279053200,940.9320961200,950.0640786000,909.7412641200,4766304,5154329159.0000
2020-03-03,951.3203760000,964.3165560000,969.4110585600,951.3203760000,5025015,5585227657.0000
2020-03-04,974.7135000000,978.1098350400,986.8432680000,967.1237308800,5379299,6080149243.0000
2020-03-05,984.5126197200,1014.5684520000,1018.0254358800,979.5307507200,6242645,7210485104.0000
2020-03-06,1007.6371560000,1001.1390660000,1018.9005120000,998.0892957600,3064100,3553622358.0000
2020-03-09,983.3776200000,965.1916321200,983.3776200000,962.8523197200,4340409,4865288500.0000
2020-03-10,964.3165560000,1001.5722720000,1011.9692160000,964.3165560000,5806293,6635936156.0000
2020-03-11,1001.1390660000,1003.7556302400,1013.3381469600,988.5760920000,3554757,4124607952.0000
2020-03-12,988.7667026400,986.4100620000,998.9730360000,974.8001412000,3663063,4172606105.0000
2020-03-13,944.3890800000,963.4761363600,978.1618197600,935.7249600000,7588531,8348496480.0000
2020-03-16,956.5015197600,924.4616040000,959.9411754000,920.1295440000,5123254,5548946745.0000
2020-03-17,914.0646600000,905.4871812000,933.9921360000,876.0465014400,7935912,8277472787.0000
2020-03-18,901.0684800000,873.3346318800,918.3967200000,873.3346318800,7345988,7582762547.0000
2020-03-19,861.2048638800,862.9463520000,879.4081800000,831.8421612000,10226507,10075880470.0000
2020-03-20,875.9425320000,896.9790153600,903.6677160000,875.9425320000,6013919,6169094444.0000
2020-03-23,866.4120000000,882.8738280000,896.9790153600,859.0648262400,4847210,4918121944.0000
2020-03-24,903.6677160000,914.9310720000,917.4263385600,896.7364200000,4665096,4900364144.0000
2020-03-25,942.6389277600,935.8116012000,945.5674003200,930.6997704000,3704866,4015061222.0000
2020-03-26,929.9459919600,922.6594670400,945.4287744000,920.1295440000,3004856,3231754298.0000
2020-03-27,940.0570200000,931.8261060000,946.1219040000,931.4015641200,3626112,3931759353.0000
2020-03-30,918.6133230000,928.7936640000,933.1257240000,915.7974840000,3068741,3279823025.0000
2020-03-31,937.4577840000,962.5837320000,966.0493800000,937.2845016000,4798437,5293170703.0000
2020-04-01,967.7822040000,955.6524360000,978.1791480000,955.6524360000,3320535,3700184247.0000
2020-04-02,956.5188480000,992.0417400000,992.0417400000,956.4148785600,4520561,5095167594.0000
2020-04-03,986.8692603600,987.5277334800,994.6063195200,980.7610557600,2761761,3148421866.0000
2020-04-07,1006.7274234000,1004.9945994000,1010.6695980000,995.4120826800,4348800,5041525481.0000
2020-04-08,998.1066240000,1004.8299811200,1010.5049797200,998.1066240000,2422442,2809422100.0000
2020-04-09,1010.2363920000,1003.7383020000,1012.8356280000,994.6063195200,2281697,2640230492.0000
2020-04-10,1003.2011265600,1009.3699800000,1023.6657780000,999.4062420000,2780434,3252600672.0000
2020-04-13,1009.3699800000,1007.0306676000,1013.6847117600,995.0741820000,1598147,1854563731.0000
2020-04-14,1018.9005120000,1026.7848612000,1032.3732186000,1010.2363920000,3679955,4340858665.0000
2020-04-15,1032.7631040000,1030.6837152000,1043.1513838800,1028.5176852000,2933229,3501318260.0000
2020-04-16,1033.6035236400,1037.1818052000,1037.1818052000,1025.9184492000,2172774,2588431844.0000
2020-04-17,1048.3585200000,1062.2211120000,1069.6375987200,1044.0351241200,3824569,4676618151.0000
2020-04-20,1057.8890520000,1063.3474476000,1066.9863780000,1054.2501216000,2423864,2963483323.0000
2020-04-21,1057.9063802400,1039.6944000000,1060.4796238800,1033.6295160000,2922422,3517018487.0000
2020-04-22,1044.8928720000,1078.2497340000,1082.5817940000,1041.6178346400,4403473,5430377598.0000
2020-04-23,1083.0150000000,1084.9730911200,1096.6003401600,1081.0829012400,2689851,3377042463.0000
2020-04-24,1081.2821760000,1083.5001907200,1091.5838146800,1070.1747741600,1912240,2390444036.0000
2020-04-27,1089.0798840000,1105.5417120000,1107.4218260400,1083.8467555200,2590391,3284513346.0000
2020-04-28,1113.6080077200,1108.2535815600,1126.2836152800,1101.9720945600,3466190,4458549425.0000
2020-04-29,1107.1012536000,1104.5886588000,1116.0252972000,1089.9462960000,2344406,2976724957.0000
2020-04-30,1101.2096520000,1096.6176684000,1113.3480841200,1090.7087385600,2466087,3134408881.0000
2020-05-06,1083.8814120000,1126.3356000000,1126.3356000000,1083.0150000000,3583481,4598589768.0000
2020-05-07,1125.8157528000,1136.7325440000,1139.3231158800,1120.2707160000,2793474,3647628296.0000
2020-05-08,1141.0646040000,1138.9938793200,1159.2592560000,1133.7087661200,2907868,3839218026.0000
2020-05-11,1143.6638400000,1146.2717401200,1156.6600200000,1138.1794520400,2367119,3135990964.0000
2020-05-12,1141.9310160000,1154.9271960000,1156.6513558800,1140.1981920000,1972181,2621824685.0000
2020-05-13,1154.9271960000,1157.4831114000,1159.2505918800,1146.1591065600,2201431,2931464950.0000
2020-05-14,1152.3279600000,1149.3734950800,1156.5560505600,1148.0912053200,1857492,2467976357.0000
2020-05-15,1151.4615480000,1137.5989560000,1155.3604020000,1127.9644545600,2639808,3469736812.0000
2020-05-18,1131.5340720000,1166.3724985200,1170.9558180000,1130.7802935600,3436211,4587989708.0000
2020-05-19,1181.7859680000,1166.2858573200,1181.7859680000,1159.2592560000,2478746,3342210487.0000
2020-05-20,1166.2858573200,1170.5226120000,1177.6098621600,1158.2282257200,2118340,2859455106.0000
2020-05-21,1173.9882600000,1183.6054332000,1188.6826075200,1172.1341383200,2305158,3147105462.0000
2020-05-22,1183.5187920000,1150.7684184000,1183.6054332000,1146.1591065600,3442746,4608696074.0000
2020-05-25,1152.3279600000,1180.8329148000,1184.0213109600,1144.5302520000,3156100,4260387678.0000
2020-05-26,1186.8804705600,1176.5874960000,1186.9411194000,1173.9882600000,2247019,3056188321.0000
2020-05-27,1177.4539080000,1159.2592560000,1178.3203200000,1154.9271960000,2677741,3596654307.0000
2020-05-28,1159.2332636400,1164.4577280000,1167.0049792800,1144.6428855600,2648591,3536546893.0000
2020-05-29,1154.1474252000,1184.0386392000,1186.9671117600,1154.1474252000,3044435,4144247222.0000
2020-06-01,1196.5149720000,1229.8718340000,1230.3916812000,1196.5149720000,3547976,4986178912.0000
2020-06-02,1226.8480561200,1222.2560725200,1237.1496948000,1218.7471039200,2596010,3679210598.0000
2020-06-03,1225.9729800000,1212.3703116000,1228.1390100000,1209.3118772400,2355736,3308382799.0000
2020-06-04,1209.5111520000,1219.8994318800,1222.5073320000,1209.5111520000,1803741,2534459742.0000
2020-06-05,1217.5254630000,1234.6371000000,1237.9987785600,1213.9125249600,1834706,2597524609.0000
2020-06-08,1234.6371000000,1218.2619132000,1243.3012200000,1214.7182881200,2930045,4145298455.0000
2020-06-09,1219.9080960000,1227.3159186000,1234.6371000000,1213.5659601600,2261191,3199849660.0000
2020-06-10,1234.6371000000,1233.4761079200,1241.8543119600,1227.7058040000,2270074,3234843851.0000
2020-06-11,1222.5159961200,1213.3753495200,1228.5635518800,1210.3688998800,3071171,4314846228.0000
2020-06-12,1201.8607340400,1227.1599644400,1227.1599644400,1198.5163837200,2842742,3992323389.0000
2020-06-15,1214.7096240000,1198.2477960000,1223.0271792000,1196.5149720000,3461541,4819512189.0000
2020-06-16,1211.6771820000,1216.3384785600,1225.1065680000,1207.0245495600,2920664,4099718932.0000
2020-06-17,1223.2524463200,1217.3088600000,1223.2871028000,1208.6620682400,1945307,2730097120.0000
2020-06-18,1217.2222188000,1224.2401560000,1224.4134384000,1213.0634412000,2101041,2956800081.0000
2020-06-19,1230.3050400000,1247.4946540800,1252.1386224000,1226.0596212000,3895833,5603232657.0000
2020-06-22,1243.3878612000,1246.7668680000,1251.0036226800,1241.7416784000,2324700,3343536637.0000
2020-06-23,1243.3012200000,1277.5244940000,1284.0225840000,1242.0189302400,3393426,4963194685.0000
2020-06-24,1282.8893080000,1279.7425653000,1284.7387863000,1266.5858500000,2513899,3663537115.0000
2020-06-29,1269.2154400000,1282.5124001000,1284.9929800000,1259.5823753000,2808061,4064048236.0000
2020-06-30,1282.4685736000,1282.2582064000,1287.6050394000,1275.4563336000,2244614,3281641199.0000
2020-07-01,1286.7460400000,1309.7724831000,1320.1418330000,1283.2574506000,3868249,5759640251.0000
2020-07-02,1313.9184700000,1353.3623200000,1359.4103770000,1310.4123500000,4588372,7014289615.0000
2020-07-03,1358.6215000000,1351.4251887000,1360.8128250000,1329.5908264000,3512581,5395637032.0000
2020-07-06,1348.1031400000,1402.4480000000,1416.4724800000,1342.6774193000,5182196,8228068998.0000
2020-07-07,1405.1564777000,1479.5826400000,1529.3870746000,1403.3245300000,6666393,11219852098.0000
2020-07-08,1472.5704000000,1473.7449502000,1506.7550700000,1455.0398000000,5316998,8963189092.0000
2020-07-09,1482.2122300000,1495.3601800000,1500.6193600000,1474.3234600000,3503324,5951732803.0000
2020-07-10,1480.4591700000,1502.2409405000,1522.1819980000,1480.4065782000,3710044,6352507468.0000
2020-07-13,1502.9684604000,1561.9676947000,1566.3591100000,1502.9684604000,6072716,10679460274.0000
2020-07-14,1561.9676947000,1544.4458600000,1562.0027559000,1532.5250520000,4609351,8135834910.0000
2020-07-15,1529.4396664000,1536.1451209000,1562.5023780000,1529.2906563000,4071294,7176560649.0000
2020-07-16,1516.3180123000,1414.7194200000,1516.3180123000,1402.4480000000,10224219,16901373196.0000
2020-07-17,1419.9786000000,1444.5652665000,1466.0753127000,1419.9786000000,6590206,10863420089.0000
2020-07-20,1448.4658250000,1434.8445488000,1458.5371547000,1392.7009864000,4528033,7363822989.0000
2020-07-21,1443.3293592000,1462.0520400000,1492.5552840000,1429.6116647000,4196950,7026353150.9800
2020-07-22,1453.2867400000,1470.8874624000,1498.8663000000,1453.2867400000,3920121,6637265371.7100
2020-07-23,1465.5581600000,1469.0642800000,1482.2122300000,1446.2745000000,3432052,5739050333.4200
2020-07-24,1450.5256705000,1398.3283090000,1460.2989800000,1389.3000500000,7875201,12705941887.2200
2020-07-27,1416.4812453000,1422.2137515000,1428.5685940000,1402.4480000000,3878817,6279664443.7100
2020-07-28,1428.7439000000,1463.8051000000,1472.5704000000,1428.7439000000,5491152,9133721867.3100
2020-07-29,1481.3357000000,1465.5581600000,1481.3357000000,1431.3734900000,5074843,8411789966.5000
2020-07-30,1464.8569360000,1472.5704000000,1490.6181527000,1464.2433650000,3837304,6486855474.9900
2020-07-31,1476.9530500000,1470.9751154000,1494.4836500000,1442.7683800000,4068474,6846747330.2200
2020-08-03,1478.6009264000,1462.0520400000,1487.1032674000,1455.0398000000,3466114,5790041421.9300
