日期,开盘,收盘,最高,最低,成交量,成交额
2020-01-02,28.7895086300,29.4329764800,29.6146615200,28.7819384200,82624452,3191180650.0000
2020-01-03,29.4859679500,29.8266274000,29.9931720200,29.4632573200,52010611,2045230273.0000
2020-01-06,29.6676529900,29.7055040400,30.4019633600,29.4481169000,54887720,2171575505.0000
2020-01-07,29.9401805500,29.6373721500,30.2354187400,29.5995211000,34767128,1369304771.0000
2020-01-08,29.4859679500,29.0771766100,29.4859679500,29.0771766100,36323418,1403861101.0000
2020-01-09,29.4026956400,29.4481169000,29.5238190000,29.2058701800,30335989,1177003661.0000
2020-01-10,29.4481169000,29.5540998400,29.7357848800,29.3345637500,28593121,1116903172.0000
2020-01-13,29.7357848800,29.5995211000,29.7357848800,29.3345637500,32780852,1279073028.0000
2020-01-14,29.6298019400,29.3799850100,30.0007422300,29.2967127000,33564638,1314430602.0000
2020-01-15,29.4026956400,28.8576405200,29.4405466900,28.7819384200,48859891,1870048774.0000
2020-01-16,28.9333426200,28.7365171600,29.0317553500,28.5851129600,45384826,1723277982.0000
2020-01-17,28.8122192600,28.7138065300,28.8954915700,28.5245512800,42135711,1595789849.0000
2020-01-20,28.9333426200,29.0014745100,29.2588616500,28.7667980000,58580886,2244268938.0000
2020-01-21,28.7289469500,28.6078235900,28.8803511500,28.5396917000,41720185,1580332561.0000
2020-01-22,28.5396917000,28.6305342200,28.8425001000,28.1233301500,53125460,2000618547.0000
2020-01-23,28.4109981300,27.8659430100,28.5396917000,27.5934154500,78750274,2912304571.0000
2020-02-03,25.5873098000,26.5184456300,26.8742455000,25.5873098000,113106226,3944795003.0000
2020-02-04,26.5260158400,26.7606923500,26.8591050800,26.2534882800,122967652,4313054347.0000
2020-02-05,26.7531221400,26.7682625600,26.8818157100,26.3670414300,80257198,2826862599.0000
2020-02-06,26.8742455000,27.0635007500,27.1240624300,26.5941477300,73070159,2589474707.0000
2020-02-07,26.5714371000,26.8136838200,26.8439646600,26.5033052100,67552464,2374190018.0000
2020-02-10,26.5941477300,26.5714371000,26.6774200400,26.4578839500,57504178,2016401930.0000
2020-02-11,26.7228413000,26.9272369700,27.1392028500,26.6092881500,55743628,1983770029.0000
2020-02-12,26.8742455000,26.9499476000,26.9953688600,26.6774200400,40538973,1437177997.0000
2020-02-13,26.8969561300,26.7001306700,26.9120965500,26.6471392000,42235080,1493775789.0000
