date,cpi_yoy
2020-01,0.0
2020-02,1.4
2020-03,0.8
2020-04,-1.2
2020-05,-0.9
2020-06,-0.8
2020-07,-0.1
2020-08,0.6
2020-09,0.4
2020-10,0.2
2020-11,-0.3
2020-12,-0.6
2021-01,0.7
2021-02,1.0
2021-03,0.6
2021-04,-0.5
2021-05,-0.3
2021-06,-0.2
2021-07,-0.4
2021-08,0.3
2021-09,0.1
2021-10,0.0
2021-11,0.7
2021-12,0.4
2022-01,-0.3
2022-02,0.4
2022-03,0.6
2022-04,0.0
2022-05,0.4
2022-06,-0.2
2022-07,0.0
2022-08,0.5
2022-09,-0.1
2022-10,0.3
2022-11,0.1
2022-12,-0.2
2023-01,0.0
2023-02,0.8
2023-03,-0.5
2023-04,-0.3
2023-05,-0.1
2023-06,-0.2
2023-07,-0.2
2023-08,0.2
2023-09,0.3
2023-10,0.2
2023-11,-0.1
2023-12,-0.5
2024-01,0.1
2024-02,0.3
2024-03,1.0
2024-04,-1.0
2024-05,0.1
2024-06,-0.1
2024-07,-0.2
2024-08,0.5
2024-09,0.4
2024-10,0.0
2024-11,-0.3
2024-12,-0.6
2025-01,0.0
2025-02,0.7
2025-03,-0.2
2025-04,-0.4
2025-05,0.1
2025-06,-0.2
2025-07,-0.1
2025-08,0.4
