date,open,close,high,low,volume,amount
2020-05-19,5515.0289,5547.8759,5548.2181,5504.2327,11200886000,133182704772.6000
2020-05-20,5545.0441,5489.7024,5547.1691,5473.7896,12349126400,141354557271.3000
2020-05-21,5508.2041,5426.1745,5511.2324,5415.5986,11455910800,128883851422.2000
2020-05-22,5421.7282,5328.2268,5421.8870,5307.2962,10641571100,115705492517.1000
2020-05-25,5323.9656,5316.6036,5344.2849,5293.2294,8438568100,91375351529.7000
2020-05-26,5341.1113,5420.2126,5421.9045,5341.0821,9096900800,99351009048.7000
2020-05-27,5426.5558,5369.4992,5426.5558,5358.4700,10396037100,113109428499.0000
2020-05-28,5367.2664,5361.1670,5390.1397,5290.2897,10252425100,107583819702.0000
2020-05-29,5349.5678,5406.3403,5416.6599,5336.0669,10500325000,110023218185.6000
2020-06-01,5446.2912,5569.4800,5576.6538,5446.2912,14169758200,147879965490.3000
2020-06-02,5595.3589,5566.4438,5596.4399,5544.1862,13902910300,149203304081.4000
2020-06-03,5583.7010,5572.3125,5618.2892,5567.0729,13834551900,146218273434.1000
2020-06-04,5589.3445,5576.7535,5597.2621,5549.3577,12077846500,123809986180.5000
2020-06-05,5585.1592,5585.4231,5592.3453,5542.8701,11225389700,115167433561.3000
2020-06-08,5618.3753,5575.3036,5627.1893,5567.2087,11944619000,128061193175.3000
2020-06-09,5582.1440,5610.3774,5616.0363,5560.1390,11487092900,119378870792.0000
2020-06-10,5611.6579,5615.2417,5616.6108,5581.9153,10836809700,114114998789.0000
2020-06-11,5618.6411,5589.1019,5673.3108,5567.5380,12751545400,144595249404.6000
2020-06-12,5483.7845,5591.4871,5620.2062,5479.2713,12954546500,142138382119.3000
2020-06-15,5605.8832,5590.6435,5661.9706,5590.6435,14535977600,152567150810.5000
2020-06-16,5633.2588,5695.3007,5695.3007,5624.8549,13395170300,142087502349.4000
2020-06-17,5708.6871,5735.4183,5735.4183,5685.6241,14683751800,153683182939.3000
2020-06-18,5738.0314,5734.4030,5744.4525,5705.2950,15815436600,160763116093.6000
2020-06-19,5733.4291,5787.1482,5796.3597,5727.6226,14176809800,147827142214.7000
2020-06-22,5793.7883,5784.0269,5815.3942,5770.8094,14539234900,157370407892.1000
2020-06-23,5783.1198,5804.3430,5809.2832,5755.3982,12574812700,140277421310.2000
2020-06-24,5808.5388,5789.0893,5824.3132,5773.2908,11024143600,128536776011.6000
2020-06-29,5774.4585,5762.4378,5789.1592,5740.2558,11776115100,131671126495.1000
2020-06-30,5790.0647,5864.4164,5875.3274,5788.2081,11535032400,139671518549.7000
2020-07-01,5884.5400,5881.8875,5885.8738,5814.7554,14283298200,161437631595.0000
2020-07-02,5880.8832,5975.2794,5979.9902,5858.5743,20118138000,200063179993.3000
2020-07-03,5989.9958,6051.5099,6052.5230,5968.0663,22682681800,217087507631.7000
2020-07-06,6095.9561,6299.8551,6318.3081,6095.9561,30237648900,291741992284.0000
2020-07-07,6368.3135,6380.0276,6480.0286,6300.2446,32586542500,329327405395.3000
2020-07-08,6378.9461,6535.4151,6541.4382,6352.3731,28884738900,292261704951.5000
2020-07-09,6541.2854,6693.7452,6712.1445,6530.0207,31741227100,334582903483.0000
2020-07-10,6664.3263,6676.4373,6763.8121,6644.3586,28873667200,322509785233.7000
2020-07-13,6710.6352,6899.5175,6899.6220,6710.6352,29730559500,335186154096.4000
2020-07-14,6897.0034,6807.7270,6897.0034,6672.7996,29386829700,341854745106.6000
2020-07-15,6815.6162,6638.8384,6838.1524,6598.5228,25647283000,300879616805.6000
2020-07-16,6642.3288,6319.9981,6710.9950,6305.1330,25331587000,277008155088.1000
2020-07-17,6327.0265,6344.5912,6447.5092,6272.9416,19680390900,215076901728.0000
2020-07-20,6419.0800,6526.8325,6526.8325,6340.6495,21241322200,225848583600.9000
2020-07-21,6546.5653,6563.3239,6591.0097,6500.8682,19396594900,214682284529.3000
2020-07-22,6554.1681,6620.6893,6699.6871,6534.7427,21010119800,232947421316.2000
2020-07-23,6562.0485,6620.0859,6629.2067,6431.2609,20799246200,240882435490.9000
2020-07-24,6584.8093,6283.9831,6609.2877,6265.3789,21901777700,247232797429.5000
2020-07-27,6304.5859,6298.7351,6337.3275,6229.4712,14554248100,168023361892.0000
2020-07-28,6345.6820,6359.6637,6385.3908,6307.7891,13883814400,162440480588.8000
2020-07-29,6341.0079,6530.2712,6530.2712,6324.0483,15922168400,186898356931.0000
2020-07-30,6548.7007,6511.4360,6564.7750,6491.4492,17761556100,209285453557.9000
2020-07-31,6499.3939,6579.6696,6619.2616,6463.4150,17991294100,207862488529.4000
2020-08-03,6635.3429,6739.8085,6739.8085,6614.4314,20726674600,240946720735.4000
2020-08-04,6758.4937,6697.7071,6764.9049,6672.8940,20947893600,245084781553.8000
2020-08-05,6696.6870,6772.8422,6790.0080,6653.2772,18484381600,217994170977.7000
2020-08-06,6780.3265,6770.3016,6792.2759,6656.2782,20522984200,240928921871.6000
2020-08-07,6743.2907,6688.8822,6755.5280,6578.6672,19812821400,227976663622.0000
2020-08-10,6666.5601,6725.2956,6768.8660,6651.7421,17535322700,210390907232.4000
2020-08-11,6727.7692,6600.8472,6756.8451,6594.9793,18084577100,203427777772.4000
2020-08-12,6580.0058,6528.3999,6599.6573,6395.0060,17788904500,197969436425.0000
2020-08-13,6552.3695,6552.6567,6592.1163,6518.4229,16206051500,166812245236.6000
2020-08-14,6542.6032,6623.5633,6629.5058,6506.0266,15687598800,161300612455.5000
2020-08-17,6646.5418,6744.5468,6752.3176,6614.1849,20140735700,207540650739.0000
2020-08-18,6747.6059,6789.3979,6811.5637,6737.5288,18916617500,208576358641.0000
2020-08-19,6782.5931,6666.2740,6782.5931,6661.9879,19430913600,205475855509.4000
2020-08-20,6622.0053,6593.7850,6672.4908,6570.6949,15764625800,163429358353.0000
2020-08-21,6628.9007,6643.9444,6686.0233,6589.1968,14296349300,153128200636.0000
2020-08-24,6667.2961,6688.9647,6702.7487,6589.9285,14302035400,157948512265.7000
2020-08-25,6698.1196,6652.5478,6734.4378,6631.6853,14709813000,158243101131.0000
2020-08-26,6650.4490,6525.8786,6660.7634,6501.2409,15373477100,170546092542.3000
2020-08-27,6538.1362,6578.7912,6585.7193,6486.7508,12983619800,142139979127.3000
2020-08-28,6571.8981,6691.2096,6695.3574,6553.9227,14194959300,155878611730.4000
2020-08-31,6719.2859,6668.4331,6765.8853,6667.6792,15602438500,173312513829.2000
2020-09-01,6667.1680,6710.4599,6710.4599,6637.6339,12563249000,140204445918.0000
