,000002,000858,002594,600036,600048,600104,600519,600900,601088,601398,000300,000905,cpi_yoy,m2_yoy
0,26.59432424,111.86238232,15.58236879,29.43297648,12.60270324,20.2128876,979.04556,14.99544207,11.61051463,4.15146039,4152.24,5366.137,0.0,8.4
1,26.17776695,110.56658095,15.54031548,29.8266274,12.3624303,20.154348,934.47732672,15.07663017,11.59177792,4.16536813,4144.964,5380.637,0.0,8.4
2,25.73670629,109.4232268,15.61795236,29.70550404,12.15316032,19.5355008,933.98347188,14.7762342,11.72918046,4.15146039,4129.295,5434.85,0.0,8.4
3,25.94090104,109.56720473,15.54355035,29.63737215,12.23841846,19.6776684,948.31392636,14.76811539,11.75416274,4.17927587,4160.227,5499.839,0.0,8.4
4,25.87555872,109.16067881,15.29446536,29.07717661,12.02914848,19.9787292,942.77755368,14.65445205,11.46062095,4.10973717,4112.317,5423.796,0.0,8.4
5,26.3002838,110.75290533,15.41415555,29.4481169,12.61820472,20.865186,955.3925124,14.68692729,11.4918488,4.10973717,4164.369,5497.542,0.0,8.4
6,25.69586734,113.16665298,15.17801004,29.55409984,12.41668548,20.948814,963.88335,14.613858,11.34195512,4.10973717,4163.184,5480.227,0.0,8.4
7,25.87555872,118.28210414,16.69516407,29.5995211,12.77321952,21.157884,974.08101924,14.67068967,11.36069183,4.12364491,4203.988,5559.627,0.0,8.4
8,25.63869281,117.35048224,17.28714528,29.37998501,12.6724599,20.8819116,959.4646488,14.75999658,11.33570955,4.13059878,4189.886,5542.331,0.0,8.4
9,24.90359171,119.2476032,17.24509197,28.85764052,12.50194362,20.5390368,963.56277756,14.62197681,11.13585131,4.08887556,4166.734,5530.026,0.0,8.4
10,24.93626287,119.12903314,17.49741183,28.73651716,12.42443622,20.739744,959.118084,14.63009562,11.1171146,4.0332446,4149.043,5527.667,0.0,8.4
11,24.87908834,117.34201295,18.74607165,28.71380653,12.49419288,20.6895672,959.55129,14.40276894,11.1795703,4.04715234,4154.853,5510.045,0.0,8.4
12,24.39718873,116.50355324,19.00809612,29.00147451,12.38568252,20.196162,945.255492,14.50831347,11.0546589,4.06106008,4185.83,5587.535,0.0,8.4
13,23.85811459,112.31972398,18.34818264,28.60782359,11.9748933,19.318068,931.6528236,14.44336299,10.94223864,4.01238299,4114.308,5523.941,0.0,8.4
14,24.59321569,111.5405493,19.17307449,28.63053422,12.30042438,19.4100588,931.83477012,14.2891056,11.0546589,4.02629073,4131.931,5575.512,0.0,8.4
15,23.67025542,106.84856264,19.35422721,27.86594301,11.88188442,18.9082908,912.1585536,13.92375915,10.79234496,3.97761364,4003.901,5377.741,0.0,8.4
16,21.75082477,96.16031866,17.41977495,26.51844563,10.83553452,17.14374,869.80833504,13.90752153,9.98042086,3.76899754,3688.357,4910.901,1.4,8.8
17,22.55943598,96.9733705,18.23172732,26.76069235,11.09130894,17.060112,899.34432012,14.05366011,10.14905125,3.8246285,3785.637,4996.474,1.4,8.8
18,22.57577156,99.52262679,19.67124447,26.76826256,11.22307152,17.4698892,909.72393588,14.05366011,10.14280568,3.81767463,3828.527,5123.961,1.4,8.8
19,22.7881341,100.91159035,19.65183525,27.06350075,11.2773267,17.5702428,927.927252,14.15920464,10.16154239,3.8246285,3899.775,5282.892,1.4,8.8
20,22.4614225,102.12269882,18.7298973,26.81368382,11.1610656,17.77095,932.259312,14.52455109,10.10533226,3.78290528,3899.869,5327.036,1.4,8.8
21,23.41705393,102.58850977,19.71006291,26.5714371,11.49434742,17.896392,924.01973388,14.31346203,10.21150695,3.76899754,3916.005,5388.434,1.4,8.8
22,23.75193332,105.68826991,19.09867248,26.92723697,11.60285778,17.8378524,951.320376,14.2891056,10.39887405,3.79681302,3952.464,5361.276,1.4,8.8
23,23.75193332,105.43419121,19.14719553,26.9499476,11.55635334,18.105462,950.68789524,14.27286798,10.39887405,3.79681302,3984.432,5459.946,1.4,8.8
24,24.46253105,105.13776606,18.61667685,26.70013067,11.92838886,18.0301968,945.255492,14.2891056,10.35515506,3.76204367,3959.918,5412.841,1.4,8.8
25,25.1567932,104.53644647,18.4064103,26.98022844,12.3236766,17.9716572,942.656256,14.30534322,10.44259304,3.77595141,3987.734,5420.802,1.4,8.8
26,24.84641718,105.2732747,18.91751976,27.38144957,12.19966476,19.0170072,947.69877384,14.36217489,10.54876773,3.81767463,4077.424,5594.436,1.4,8.8
27,24.2583363,104.50256931,19.23777189,27.0256497,12.013647,18.8832024,939.190608,14.22415512,10.44883861,3.79681302,4057.51,5660.814,1.4,8.8
28,24.21749735,106.713054,20.02708017,26.89695613,11.99814552,19.02537,950.020758,14.22415512,10.3676462,3.81072076,4051.31,5603.262,1.4,8.8
29,24.38085315,110.22780935,22.0294647,27.23761558,12.12215736,19.23444,968.648616,14.30534322,10.46757532,3.83158237,4144.656,5706.712,1.4,8.8
30,23.89078575,110.10077,21.8353725,26.98022844,11.88188442,19.945278,964.21258656,14.23227393,10.45508418,3.81767463,4149.49,5784.032,1.4,8.8
31,23.6049131,107.6446759,21.4148394,26.53358605,11.69586666,19.819836,941.94579816,14.13484821,10.32392721,3.78290528,4132.838,5865.466,1.4,8.8
32,23.95612807,106.1202037,22.91905395,26.21563723,11.82762924,19.8031104,931.22828172,13.94811558,10.14280568,3.76204367,4123.854,5897.721,1.4,8.8
33,24.59321569,105.1038889,23.1940179,26.36704143,12.39343326,19.6609428,930.2665644,13.801977,10.27396265,3.76204367,4073.015,5743.392,1.4,8.8
34,24.23383293,106.9671327,22.66026435,26.66227962,12.26942142,19.527138,942.12774468,13.98870963,10.24898037,3.7550898,4084.875,5753.727,1.4,8.8
35,24.16849061,102.1396374,21.14634519,25.8901182,12.54844806,18.5737788,915.797484,13.82633343,9.992912,3.6855511,3940.048,5451.289,1.4,8.8
36,25.42633027,103.87584185,21.62510595,26.30647975,12.93598506,19.401696,940.93209612,14.01306606,10.37389177,3.72727432,4069.666,5656.419,0.8,10.1
37,25.4018269,105.33255973,21.95506269,26.20806702,12.87397914,19.65258,964.316556,14.26474917,10.47382089,3.74118206,4091.361,5710.023,0.8,10.1
38,26.34929054,106.09479583,21.53776446,26.32919038,13.02899394,19.8031104,978.10983504,14.28098679,10.44259304,3.74813593,4115.052,5716.511,0.8,10.1
39,26.3819617,112.8109428,21.61216647,27.42687083,13.20726096,19.7445708,1014.568452,14.38653132,10.64869685,3.79681302,4206.725,5801.119,0.8,10.1
40,25.42633027,110.16005503,21.14311032,26.80611361,12.78097026,19.1675376,1001.139066,14.19167988,10.47382089,3.76204367,4138.507,5763.86,0.8,10.1
41,24.95259845,106.9671327,19.23130215,25.87497778,12.53294658,18.6155928,965.19163212,14.16732345,10.16778796,3.69250497,3997.1325,5525.8167,0.8,10.1
42,25.1567932,110.71055888,19.46421279,26.25348828,12.70346286,19.485324,1001.572272,14.32158084,10.33641835,3.72727432,4082.7315,5675.1113,0.8,10.1
43,24.81374602,110.0160771,19.00486125,26.07937345,12.5949525,19.150812,1003.75563024,14.28098679,10.25522594,3.69945884,4028.4289,5589.5311,0.8,10.1
44,24.46253105,106.74693116,18.44846361,25.85983736,12.70346286,18.9584676,986.410062,14.16732345,10.15529682,3.67859723,3950.9111,5493.8838,0.8,10.1
45,24.05414155,103.8334954,18.00528642,25.29207161,12.48644214,18.5319648,963.47613636,13.801977,10.01164871,3.62992014,3895.3128,5457.2006,0.8,10.1
46,23.31087266,97.8202995,17.42947956,23.97485507,11.85088146,17.4448008,924.461604,13.73702652,9.94919301,3.59515079,3727.8398,5200.1142,0.8,10.1
47,22.95965769,95.16094244,17.15775048,24.02027633,11.69586666,17.3193588,905.4871812,13.74514533,9.8055449,3.59515079,3709.6822,5212.0619,0.8,10.1
48,21.4812877,91.12109111,16.85043783,23.33138722,11.17656708,16.809228,873.33463188,13.57465032,9.69312464,3.55342757,3636.2565,5119.4716,0.8,10.1
49,20.60733417,86.47992019,16.61429232,22.18828551,10.851036,15.9060456,862.946352,13.28237316,9.23095246,3.46998113,3589.0926,5157.8235,0.8,10.1
50,21.0728982,91.90026579,16.98953724,23.49793184,11.23082226,15.931134,896.97901536,13.38791769,9.29965373,3.53256596,3653.2239,5219.2809,0.8,10.1
51,20.05192445,88.51254979,15.57589905,22.83175336,10.91304192,14.802156,882.873828,13.41227412,9.23095246,3.46998113,3530.3058,4998.9095,0.8,10.1
52,20.3377971,92.35760745,16.08700851,23.85373171,11.25407448,15.88932,914.931072,13.72890771,9.73059806,3.56038144,3625.1146,5096.0408,0.8,10.1
53,21.6446435,96.549906,16.90219575,24.59561229,11.75787258,17.1688284,935.8116012,13.82633343,9.79305376,3.60210466,3722.5181,5217.4237,0.8,10.1
54,21.3996098,96.45674381,17.55563949,24.76972712,11.71911888,16.8008652,922.65946704,13.66395723,9.95543858,3.60210466,3698.0472,5166.1091,0.8,10.1
55,21.70181803,98.08284749,17.72061786,24.76972712,11.8198785,17.1688284,931.826106,13.72890771,10.16154239,3.62296627,3710.0605,5137.3371,0.8,10.1
56,21.26892516,95.89777067,18.18967401,24.71673565,11.7811248,17.6287824,928.793664,13.8831651,10.35515506,3.62992014,3674.1108,5027.4856,0.8,10.1
57,20.95038135,97.5662208,19.39951539,24.43663788,11.52535038,17.14374,962.583732,14.03742249,10.14280568,3.58124305,3686.1551,5041.4534,0.8,10.1
58,21.75082477,97.396835,18.47757744,24.32308473,11.60285778,16.4914416,955.652436,13.82633343,9.992912,3.58819692,3675.0758,5019.2187,-1.2,11.1
59,21.95501952,99.25160951,18.30612933,24.48205914,11.69586666,16.265646,992.04174,14.01306606,10.14905125,3.60905853,3734.5306,5147.2019,-1.2,11.1
60,21.86517383,99.53109608,17.791785,24.33822515,11.64936222,16.1652924,987.52773348,13.98059082,10.06785884,3.57428918,3713.2183,5107.0393,-1.2,11.1
61,22.11020753,105.13776606,18.21555297,24.61832292,11.75012184,16.2405576,1004.9945994,14.00494725,10.08034998,3.58819692,3798.0214,5267.073,-1.2,11.1
62,22.02036184,106.10326512,17.89530084,24.39121662,11.75787258,16.1318412,1004.82998112,13.97247201,10.08034998,3.57428918,3780.3445,5271.7961,-1.2,11.1
63,21.79983151,105.84918642,18.00205155,24.4517783,11.57960556,16.2823716,1003.738302,13.85068986,9.992912,3.56733531,3792.8105,5322.4614,-1.2,11.1
64,21.95501952,107.15345708,17.65268559,24.3003741,11.38583706,15.8224176,1009.36998,13.84257105,9.92421073,3.55342757,3769.1782,5208.5102,-1.2,11.1
65,22.08570416,105.866125,18.0505746,24.17168053,11.68036518,15.6217104,1007.0306676,13.89128391,9.89922845,3.5464737,3753.2566,5169.1757,-1.2,11.1
66,22.33890565,108.78803005,18.73636704,24.76215691,12.08340366,15.847506,1026.7848612,13.98870963,10.09908669,3.56038144,3825.6991,5288.593,-1.2,11.1
67,21.8079993,108.33068839,19.45450818,24.54262082,11.8586322,15.5464452,1030.6837152,13.85880867,9.94919301,3.56733531,3797.3623,5268.7497,-1.2,11.1
68,21.70998582,106.7977469,19.41245487,24.3003741,12.21516624,15.8642316,1037.1818052,13.92375915,9.992912,3.56038144,3802.3806,5316.9707,-1.2,11.1
69,21.82433488,109.10139378,19.0210356,24.87571006,12.26167068,15.88932,1062.221112,13.89940272,10.01164871,3.58124305,3839.4871,5318.4547,-1.2,11.1
70,21.70998582,109.51638899,19.04044482,24.9059909,12.30817512,15.722064,1063.3474476,13.801977,9.94294744,3.56038144,3853.4551,5381.7857,-1.2,11.1
71,21.25258958,107.11111063,19.20542319,24.71673565,12.34692882,15.5631708,1039.6944,13.87504629,9.59944109,3.53256596,3808.0474,5343.8806,-1.2,11.1
72,21.34243527,110.3548487,19.22483241,24.77729733,12.3624303,15.512994,1078.249734,13.98059082,9.60568666,3.53951983,3839.3834,5387.6233,-1.2,11.1
73,21.236254,111.02392261,18.84311775,24.74701649,12.31592586,15.3624636,1084.97309112,14.0455413,9.5557221,3.52561209,3829.7525,5357.7904,-1.2,11.1
74,20.97488472,111.2864706,18.99839151,24.61075271,12.27717216,15.2704728,1083.50019072,14.23227393,9.46828412,3.51170435,3796.9721,5273.5474,-1.2,11.1
75,21.13824052,112.3874783,18.43228926,25.42076518,12.33142734,15.0446772,1105.541712,14.29722441,9.56821324,3.53951983,3822.769,5265.7248,-1.2,11.1
76,21.55479781,117.723131,18.43228926,25.63273106,12.5174451,14.9359608,1108.25358156,14.41088775,9.59944109,3.55342757,3849.1465,5227.846,-1.2,11.1
77,21.93868394,114.7588795,18.762246,26.51087542,12.79647174,15.1283052,1104.5886588,14.29722441,9.77431705,3.58124305,3867.032,5226.8116,-1.2,11.1
78,21.8896772,114.98755033,19.39628052,26.56386689,12.58720176,15.805692,1096.6176684,14.16732345,9.94919301,3.59515079,3912.5772,5353.8595,-1.2,11.1
79,21.44861654,117.05405709,20.11442166,26.21563723,12.30042438,16.4078136,1126.3356,13.99682844,9.84926389,3.55342757,3936.2539,5451.3159,-0.9,11.1
80,21.21175063,120.18769439,19.43833383,26.07937345,12.18416328,16.432902,1136.732544,13.82633343,9.84926389,3.5464737,3924.8946,5445.7519,-0.9,11.1
81,21.44861654,121.0261541,19.33805286,26.47302437,12.31592586,16.9681212,1138.99387932,13.87504629,9.90547402,3.5464737,3963.6217,5507.6965,-0.9,11.1
82,21.57113339,120.13687865,19.04691456,26.46545416,12.2074155,16.809228,1146.27174012,13.93187796,9.92421073,3.57428918,3960.1803,5496.192,-0.9,11.1
83,21.17907947,121.0261541,19.12778631,26.18535639,12.19966476,16.5499812,1154.927196,13.98059082,9.97417529,3.56733531,3960.2378,5512.464,-0.9,11.1
84,21.17907947,123.651634,19.08249813,26.14750534,12.16091106,16.3241856,1157.4831114,13.94811558,9.9304563,3.56733531,3968.2529,5536.2802,-0.9,11.1
85,20.81969671,123.9057127,18.66196503,25.68572253,11.8973859,15.8391432,1149.37349508,13.92375915,9.91171959,3.5464737,3925.2177,5487.107,-0.9,11.1
86,20.81969671,122.99102938,18.74930652,25.62516085,11.82762924,15.554808,1137.598956,13.93187796,10.01164871,3.53951983,3912.8159,5507.9336,-0.9,11.1
87,21.40777759,128.04719551,18.49698666,25.5873098,11.98264404,15.4544544,1166.37249852,13.83445224,10.01789428,3.5464737,3922.9117,5478.8218,-0.9,11.1
88,21.34243527,128.24198918,18.83341314,25.94310967,11.8973859,15.6467988,1166.28585732,13.81821462,10.29894493,3.56038144,3956.2495,5547.8759,-0.9,11.1
89,20.91771019,127.75923965,19.08896787,26.25348828,11.83537998,15.5631708,1170.522612,13.83445224,10.22399809,3.56038144,3935.222,5489.7024,-0.9,11.1
90,20.89320682,128.46219072,18.48728205,26.29133933,11.6648637,15.4795428,1183.6054332,13.81821462,10.12406897,3.5464737,3913.7949,5426.1745,-0.9,11.1
91,20.55015964,122.16950825,18.12497661,25.45861623,11.4323415,15.3541008,1150.7684184,13.61524437,9.93670187,3.51170435,3824.064,5328.2268,-0.9,11.1
92,20.79519334,124.52397087,18.28348524,25.04982489,11.8198785,15.68025,1180.8329148,13.85880867,10.0553677,3.53951983,3829.3245,5316.6036,-0.9,11.1
93,21.09740157,125.18457549,18.8592921,25.30721203,11.86638294,15.7137012,1176.587496,13.85068986,10.0553677,3.53256596,3872.7701,5420.2126,-0.9,11.1
94,21.1545761,123.78714264,18.5358051,25.30721203,11.92838886,15.2453844,1159.259256,13.78573938,10.27396265,3.56038144,3845.6135,5369.4992,-0.9,11.1
95,21.35060306,123.78714264,18.59403276,25.90525862,12.00589626,15.2035704,1164.457728,14.16732345,10.26771708,3.59515079,3856.6324,5361.167,-0.9,11.1
96,20.9912203,125.5148778,18.57138867,25.60245022,11.75219528,14.9861376,1184.0386392,14.11861059,10.23024366,3.56038144,3867.0232,5406.3403,-0.9,11.1
97,21.5629656,134.31447011,19.19248371,26.35947122,12.1122904,15.303924,1229.871834,14.4514818,10.34266392,3.58819692,3971.3402,5569.48,-0.8,11.1
98,22.24905996,134.46691733,19.732707,26.52601584,12.44783358,15.2453844,1222.25607252,14.613858,10.33017278,3.60905853,3983.5677,5566.4438,-0.8,11.1
99,21.92234836,134.01804496,19.38657591,26.66227962,12.4805695,15.8391432,1212.3703116,14.74375896,10.41136519,3.60905853,3983.6477,5572.3125,-0.8,11.1
100,21.83250267,134.53467165,19.44480357,26.60928815,12.34962582,15.2453844,1219.89943188,14.4514818,10.23648923,3.60210466,3982.1851,5576.7535,-0.8,11.1
101,21.57113339,135.58486361,20.4443784,26.67742004,12.16139428,15.2453844,1234.6371,14.41088775,10.23024366,3.62296627,4001.2509,5585.4231,-0.8,11.1
102,21.7263214,136.02526669,20.31174873,27.00293907,12.20231418,15.303924,1218.2619132,14.52455109,10.39887405,3.64382788,4021.9549,5575.3036,-0.8,11.1
103,21.59563676,137.71912469,20.04972426,26.89695613,12.2350501,15.303924,1227.3159186,14.63009562,10.59248672,3.65773562,4047.0293,5610.3774,-0.8,11.1
104,21.38327422,137.65983966,19.74888135,26.75312214,11.97316274,15.1450308,1233.47610792,14.50831347,10.44883861,3.66468949,4039.7051,5615.2417,-0.8,11.1
105,21.1545761,135.56792503,20.32792308,26.09451387,11.7440113,15.094854,1213.37534952,14.2891056,10.2427348,3.66468949,3995.8846,5589.1019,-0.8,11.1
106,20.99938809,136.7790335,19.88798076,26.1172245,11.7849312,15.0446772,1227.15996444,14.23227393,10.16778796,3.62992014,4003.0829,5591.4871,-0.8,11.1
107,20.9095424,132.967853,20.2179375,25.41319497,11.73582732,14.8188816,1198.247796,13.98870963,9.8902395,3.64382788,3954.9883,5590.6435,-0.8,11.1
108,21.08923378,133.54376472,20.7355167,25.84469694,11.89132294,14.885784,1216.33847856,14.32158084,9.9173175,3.6855511,4014.5702,5695.3007,-0.8,11.1
109,20.97488472,132.01929252,20.73875157,25.8901182,11.75219528,14.9443236,1217.30886,14.54890752,9.991782,3.65773562,4017.5941,5735.4183,-0.8,11.1
110,21.14640831,134.11967644,21.58952238,25.65544169,11.95679478,14.9192352,1224.240156,14.76811539,10.127172,3.60905853,4044.3842,5734.403,-0.8,11.1
111,21.19541505,140.22603453,21.67039413,25.63273106,11.91587488,15.26211,1247.49465408,14.75187777,10.127172,3.6160124,4098.7095,5787.1482,-0.8,11.1
112,20.98305251,139.908442,21.997116,25.3602035,11.81766712,15.1533936,1246.766868,14.78435301,10.005321,3.58819692,4102.0459,5784.0269,-0.8,11.1
113,20.86870345,144.18294532,22.97728161,25.24665035,11.71127538,15.0279516,1277.524494,15.22276875,9.9173175,3.57428918,4121.7944,5804.343,-0.8,11.1
114,21.5629656,144.72369574,23.1940179,25.6630119,12.06318652,15.2119332,1279.7425653,15.49880829,9.937626,3.62992014,4138.9895,5789.0893,-0.8,11.1
115,21.17091168,143.770945,22.8381822,25.46618644,11.89132294,15.0363144,1282.5124001,15.40950138,9.7413105,3.65078175,4109.7164,5762.4378,-0.8,11.1
116,21.35060306,146.87811408,23.2263666,25.52674812,12.09592244,14.93959583,1282.2582064,15.37702614,9.721002,3.6434676,4163.9637,5864.4164,-0.8,11.1
117,22.94332211,156.19962132,23.44310289,26.33676059,13.0125282,15.16821825,1309.7724831,15.79108545,9.978243,3.6507838,4247.7835,5881.8875,-0.1,10.7
118,23.18835581,162.64570966,23.33635218,26.7228413,13.39717526,15.70460162,1353.36232,15.54752115,10.2287145,3.7019972,4335.8445,5975.2794,-0.1,10.7
119,23.40071835,161.98479248,25.66869345,27.81295154,13.3808073,16.39926205,1351.4251887,15.49880829,10.749966,3.7751592,4419.5955,6051.5099,-0.1,10.7
120,25.33648458,165.50396188,26.1700983,30.59121861,14.72298002,17.37530392,1402.448,15.67742211,11.440455,4.097072,4670.0949,6299.8551,-0.1,10.7
121,24.7484037,173.28905126,26.849421,31.08328226,14.45290868,16.8828864,1479.58264,15.68554092,11.467533,4.0678072,4698.1264,6380.0276,-0.1,10.7
122,24.8300816,174.55080224,26.76854925,30.6593505,14.55930042,16.86530006,1473.7449502,15.57187758,11.4066075,4.0019614,4774.0042,6535.4151,-0.1,10.7
123,25.01794077,174.85980248,27.32171202,30.21270811,14.83755574,16.98840444,1495.36018,15.45009543,11.535228,3.9361156,4840.7712,6693.7452,-0.1,10.7
124,23.82544343,177.675138,28.790343,29.073178,14.27286112,16.64547081,1502.2409405,15.33643209,11.142597,3.8190564,4753.1333,6676.4373,-0.1,10.7
125,23.8499468,187.2884788,31.6693773,29.1122024,14.16646938,16.91805908,1561.9676947,15.55563996,11.2441395,3.8117402,4852.9612,6899.5175,-0.1,10.7
126,23.63758426,189.6059806,31.23266985,28.49561688,13.85547814,17.72703072,1544.44586,15.75861021,11.156136,3.7605268,4806.6902,6807.727,-0.1,10.7
127,23.09851012,192.2238993,30.5695215,27.98829968,13.4626471,16.89167957,1536.1451209,16.20514476,10.939512,3.7166296,4744.4687,6638.8384,-0.1,10.7
128,22.49409366,173.00580104,27.51256935,27.7853728,13.20894372,16.25857133,1414.71942,15.53128353,10.6348845,3.7019972,4516.2532,6319.9981,-0.1,10.7
129,22.24089217,176.29322026,26.39330433,28.16000704,13.15165586,16.32012352,1444.5652665,15.66597244,10.546881,3.7019972,4544.7007,6344.5912,-0.1,10.7
130,23.1148457,173.10880112,28.19836179,29.08878776,13.80637426,16.77736836,1434.8445488,15.69122656,11.007207,3.7532106,4680.3046,6526.8325,-0.1,10.7
131,22.87797979,176.45630372,28.49596983,28.75317792,13.59359078,16.64547081,1462.05204,15.71648068,10.953051,3.731262,4691.0425,6563.3239,-0.1,10.7
132,22.77179852,179.3059726,28.20483153,28.44098272,13.53630292,16.65426398,1470.8874624,15.71648068,10.817661,3.7239458,4714.4454,6620.6893,-0.1,10.7
133,22.47775808,180.31022338,28.78710813,27.7853728,13.2989675,16.34650303,1469.06428,15.70806264,10.668732,3.6800486,4712.4357,6620.0859,-0.1,10.7
134,22.07753637,172.85988426,26.849421,27.0048848,12.98797626,15.79253332,1398.328309,15.3208328,10.479186,3.6434676,4505.5906,6283.9831,-0.1,10.7
135,21.79166372,175.1859694,27.01763424,26.731714,12.70153696,15.89805136,1422.2137515,15.59862812,10.519803,3.6361514,4528.45,6298.7351,-0.1,10.7
136,21.94685173,183.683476,27.14379417,26.98927504,12.8488486,15.83649917,1463.8051,15.70806264,10.5536505,3.6434676,4568.2576,6359.6637,-0.1,10.7
137,22.14287869,184.52464332,28.12072491,27.37171416,12.9306884,16.14426012,1465.55816,15.63230028,10.601037,3.6727324,4679.008,6530.2712,-0.1,10.7
138,21.95501952,185.67481088,27.496395,26.97366528,12.70153696,15.93322404,1472.5704,15.43026732,10.4588775,3.6434676,4656.1506,6511.436,-0.1,10.7
139,21.92234836,186.687645,27.62255493,27.1609824,12.7670088,15.98598306,1470.9751154,15.46393948,10.3776435,3.6288352,4695.0462,6579.6696,-0.1,10.7
140,22.28173112,186.87647848,27.87487479,27.31708,12.99616024,16.16184646,1462.05204,15.43026732,10.5536505,3.6434676,4771.3108,6739.8085,0.6,10.4
141,22.65744946,185.2284772,28.790343,28.62829984,13.28259954,16.1794328,1463.7963347,15.4471034,10.587498,3.694681,4775.8024,6697.7071,0.6,10.4
142,22.33890565,186.67047832,28.51537905,28.3317144,12.92250442,15.99477623,1462.05204,15.29557868,10.506264,3.6581,4777.1089,6772.8422,0.6,10.4
143,22.36340902,181.12564068,28.70300151,28.89366576,13.0125282,16.06512159,1435.7210788,15.21139828,10.465647,3.6727324,4762.7642,6770.3016,0.6,10.4
144,22.07753637,177.89830484,27.61932006,28.57366568,12.90613646,15.9156377,1429.62043,15.21981632,10.397952,3.6434676,4707.9262,6688.8822,0.6,10.4
145,22.71462399,176.76530396,26.51946426,28.878056,13.31533546,16.0915011,1432.2412547,15.20298024,10.465647,3.6507838,4724.8697,6725.2956,0.6,10.4
146,22.77179852,179.391806,26.202447,29.29951952,13.2989675,16.12667378,1439.7092903,15.21139828,10.4047215,3.6434676,4681.7837,6600.8472,0.6,10.4
147,23.44972509,177.22022098,26.51946426,29.49464152,13.5444869,16.10908744,1426.0704835,15.16930808,10.5265725,3.6507838,4647.6446,6528.3999,0.6,10.4
148,23.3598794,177.5893046,26.4612366,29.13561704,13.51993496,16.16184646,1433.12655,15.16930808,10.5130335,3.6434676,4635.7126,6552.6567,0.6,10.4
149,23.44460016,182.7393086,26.50328991,29.658544,13.92913396,16.22339865,1455.91633,15.32925084,10.5807285,3.6727324,4704.6288,6623.5633,0.6,10.4
150,23.89350327,188.82489666,26.82354204,30.4780564,14.24830918,16.59271179,1481.3357,15.46393948,10.8379695,3.7239458,4815.2261,6744.5468,0.6,10.4
151,23.4615399,189.32273038,26.60347396,30.3219588,13.88003008,16.50478009,1494.48365,15.35450496,10.871817,3.694681,4812.7564,6789.3979,0.6,10.4
152,23.24132328,190.7218148,25.7844573,29.9317148,13.68361456,16.18822597,1478.70611,15.59862812,10.8312,3.6800486,4740.6784,6666.274,0.6,10.4
153,23.27520276,185.77781096,25.4283631,29.28390976,13.6263267,15.96839672,1458.54592,15.97743992,10.736427,3.6581,4679.1544,6593.785,0.6,10.4
154,23.17356432,187.4601456,25.76179676,29.47903176,13.55267088,16.06512159,1469.06428,15.98585796,10.709349,3.6654162,4718.8431,6643.9444,0.6,10.4
155,22.97875731,193.12515,26.36391968,29.2683,13.48719904,16.39046888,1486.9016655,15.91851364,10.7838135,3.6507838,4755.8491,6688.9647,0.6,10.4
156,23.02957653,202.2234904,26.29917528,29.33073904,13.53630292,16.43443473,1513.76731,15.6154642,10.69581,3.6581,4761.9507,6652.5478,0.6,10.4
157,22.93640796,203.1247411,27.00488924,29.05756824,13.61814272,16.0915011,1513.76731,15.75857088,10.533342,3.6434676,4706.1302,6525.8786,0.6,10.4
158,22.82629965,204.35215872,27.65233324,28.8000072,13.2580476,16.8828864,1517.27343,15.71648068,10.519803,3.6361514,4731.3451,6578.7912,0.6,10.4
159,23.35143159,206.429327,27.64262158,30.0097636,13.47901506,16.65426398,1540.06321,15.98585796,10.7296575,3.6581,4844.2652,6691.2096,0.6,10.4
160,23.09733549,206.00016,27.51637,29.41659272,13.1762078,16.40805522,1565.920845,16.2468172,10.939512,3.6288352,4816.2153,6668.4331,0.6,10.4
