date,open,close,high,low,volume,amount
2020-01-02,4121.3480,4152.2400,4172.6550,4121.3480,18211677184,270105530368.0000
2020-01-03,4161.2180,4144.9640,4164.2980,4131.8640,14282624512,215216287744.0000
2020-01-06,4120.5210,4129.2950,4170.6380,4102.3790,17530995200,250182070272.0000
2020-01-07,4137.4010,4160.2270,4161.2500,4135.0970,13948903168,196389060608.0000
2020-01-08,4139.6310,4112.3170,4149.8130,4101.9800,16758585088,212406263808.0000
2020-01-09,4145.5340,4164.3690,4165.6570,4143.5920,13688632320,200150351872.0000
2020-01-10,4177.5770,4163.1840,4180.9770,4148.4810,11303171840,177827414016.0000
2020-01-13,4166.9250,4203.9880,4203.9880,4148.6000,11969198336,199795490816.0000
2020-01-14,4215.1570,4189.8860,4223.5070,4188.0800,12932078336,196221263872.0000
2020-01-15,4186.8810,4166.7340,4193.8680,4150.8790,10463313664,163081932800.0000
2020-01-16,4174.8170,4149.0430,4175.2930,4142.1790,10026764288,156242505728.0000
2020-01-17,4162.1930,4154.8530,4177.0280,4141.6440,9872568320,166591590400.0000
2020-01-20,4170.7360,4185.8300,4185.9620,4149.4870,12240914688,202692288512.0000
2020-01-21,4165.0200,4114.3080,4165.0200,4113.3250,13052750592,204586881024.0000
2020-01-22,4093.8000,4131.9310,4141.1770,4046.4860,12675876352,208136151040.0000
2020-01-23,4093.3220,4003.9010,4103.5240,3972.3930,16035760384,250409357312.0000
2020-02-03,3639.9080,3688.3570,3732.1570,3639.9080,15755964672,243303104512.0000
2020-02-04,3652.0030,3785.6370,3786.8620,3652.0030,21393332736,298165768192.0000
2020-02-05,3801.0990,3828.5270,3866.0100,3781.6130,17492552448,264042921984.0000
2020-02-06,3841.7530,3899.7750,3914.9150,3806.9600,17646223616,262820089856.0000
2020-02-07,3879.5530,3899.8690,3899.8830,3849.7120,15173175808,237508816896.0000
2020-02-10,3872.3730,3916.0050,3920.1660,3861.0060,14840696832,229625442304.0000
2020-02-11,3926.4200,3952.4640,3970.5220,3915.7070,14344167424,219307118592.0000
2020-02-12,3945.6660,3984.4320,3984.4320,3940.6660,12671032064,200776708096.0000
2020-02-13,3985.8750,3959.9180,3999.5490,3950.1420,14500184320,228605964288.0000
2020-02-14,3954.2340,3987.7340,4001.5620,3954.0230,14323980288,222895075328.0000
2020-02-17,3999.6510,4077.4240,4077.4460,3999.6510,18277896960,273067819008.0000
2020-02-18,4069.8310,4057.5100,4076.3880,4027.7850,16323621888,242552516608.0000
2020-02-19,4049.5860,4051.3100,4085.1700,4042.8450,16904644096,257554534400.0000
2020-02-20,4062.8960,4144.6560,4148.5280,4055.8100,21223262464,310835589120.0000
2020-02-21,4134.8740,4149.4900,4184.4370,4130.1670,21721360384,326564003840.0000
2020-02-24,4131.8360,4132.8380,4149.0100,4097.1750,21286930432,326387802112.0000
2020-02-25,4066.3020,4123.8540,4126.7070,4020.9070,24416783104,372213719040.0000
2020-02-26,4070.0990,4073.0150,4132.7810,4061.1250,26109406208,366022418432.0000
2020-02-27,4084.0780,4084.8750,4110.5270,4067.4400,18129097984,282050207744.0000
2020-02-28,3988.7270,3940.0480,4031.1450,3928.0660,23027509248,330358906880.0000
2020-03-02,3968.8430,4069.6660,4092.5390,3968.8430,21931355904,317426204672.0000
2020-03-03,4125.1350,4091.3610,4147.6520,4067.9090,21936977664,330802585600.0000
2020-03-04,4078.4990,4115.0520,4115.2610,4060.7290,18242472960,281784864768.0000
2020-03-05,4150.2100,4206.7250,4215.8510,4127.0380,23182311424,362838831104.0000
2020-03-06,4158.2020,4138.5070,4181.3100,4135.3900,17247571712,253168631808.0000
2020-03-09,4063.0760,3997.1325,4063.0760,3995.1313,20810203500,305428730303.8000
2020-03-10,3975.2288,4082.7315,4093.0024,3954.7506,19741640200,296184435851.3000
